sampleID,isIncluded,subjectID,measurementID,perturbID,window,cohort
304,1,10,4,0,0,uc
305,1,10,4.5,0,0,uc
306,1,10,5,0,0,uc
307,1,10,6,0,0,uc
308,1,10,7,0,0,uc
309,1,10,8,0,0,uc
310,1,10,9,0,0,uc
311,1,10,10,0,0,uc
312,1,10,11,0,0,uc
313,1,10,14,0,0,uc
314,1,10,16,0,0,uc
315,1,10,18,0,0,uc
316,1,10,21,0,0,uc
317,1,10,21.5,0,0,uc
318,1,10,22,1,1,uc
319,1,10,22.5,1,1,uc
320,1,10,23,1,1,uc
321,1,10,23.5,1,1,uc
322,1,10,24,1,1,uc
323,1,10,25,1,1,uc
324,1,10,29,0,1.5,uc
325,1,10,29.5,0,1.5,uc
326,1,10,30,0,1.5,uc
327,1,10,30.5,0,1.5,uc
328,1,10,31,0,1.5,uc
329,1,10,31.5,0,1.5,uc
330,1,10,32,0,1.5,uc
331,1,10,33,0,1.5,uc
332,1,10,35,0,1.5,uc
333,1,10,35.5,0,1.5,uc
334,1,10,36,2,2,uc
335,1,10,36.5,2,2,uc
336,1,10,37,2,2,uc
337,1,10,37.5,2,2,uc
338,1,10,38,2,2,uc
339,1,10,39,2,2,uc
340,1,10,42,2,2,uc
341,1,10,42.5,2,2,uc
342,1,10,43,0,2.5,uc
343,1,10,43.5,0,2.5,uc
344,1,10,44,0,2.5,uc
345,1,10,44.5,0,2.5,uc
346,1,10,45,0,2.5,uc
347,1,10,45.5,0,2.5,uc
348,1,10,46,0,2.5,uc
349,1,10,47,0,2.5,uc
350,1,10,50,0,2.5,uc
351,1,10,50.5,0,2.5,uc
352,1,10,51,3,3,uc
353,1,10,51.5,3,3,uc
354,1,10,52,3,3,uc
355,1,10,52.5,3,3,uc
356,1,10,53,3,3,uc
357,1,10,54,3,3,uc
358,1,10,57,3,3,uc
359,1,10,57.5,3,3,uc
360,1,10,58,0,0,uc
361,1,10,58.5,0,0,uc
362,1,10,59,0,0,uc
363,1,10,59.5,0,0,uc
364,1,10,60,0,0,uc
365,1,10,60.5,0,0,uc
366,1,10,61,0,0,uc
367,1,10,62,0,0,uc
368,1,10,63,0,0,uc
369,1,10,64,0,0,uc
370,1,10,64.5,0,0,uc
371,1,6,1,0,0,uc
372,1,6,1.5,0,0,uc
373,1,6,2,0,0,uc
374,1,6,2.5,0,0,uc
375,1,6,3,0,0,uc
376,1,6,3.5,0,0,uc
377,1,6,4,0,0,uc
378,1,6,4.5,0,0,uc
379,1,6,5,0,0,uc
380,1,6,6,0,0,uc
381,1,6,7,0,0,uc
382,1,6,8,0,0,uc
383,1,6,9,0,0,uc
384,1,6,10,0,0,uc
385,1,6,11,0,0,uc
386,1,6,14,0,0,uc
387,1,6,16,0,0,uc
388,1,6,18,0,0,uc
389,1,6,21,0,0,uc
390,1,6,21.5,0,0,uc
391,1,6,22,1,1,uc
392,1,6,22.5,1,1,uc
393,1,6,23,1,1,uc
394,1,6,23.5,1,1,uc
395,1,6,24,1,1,uc
396,1,6,25,1,1,uc
397,1,6,28,1,1,uc
398,1,6,28.5,1,1,uc
399,1,6,29,0,1.5,uc
400,1,6,29.5,0,1.5,uc
401,1,6,30,0,1.5,uc
402,1,6,30.5,0,1.5,uc
403,1,6,31,0,1.5,uc
404,1,6,31.5,0,1.5,uc
405,1,6,32,0,1.5,uc
406,1,6,33,0,1.5,uc
407,1,6,35,0,1.5,uc
408,1,6,35.5,0,1.5,uc
409,1,6,36,2,2,uc
410,1,6,36.5,2,2,uc
411,1,6,37,2,2,uc
412,1,6,37.5,2,2,uc
413,1,6,38,2,2,uc
414,1,6,39,2,2,uc
415,1,6,42,2,2,uc
416,1,6,42.5,2,2,uc
417,1,6,43,0,2.5,uc
418,1,6,43.5,0,2.5,uc
419,1,6,44,0,2.5,uc
420,1,6,44.5,0,2.5,uc
421,1,6,45,0,2.5,uc
422,1,6,45.5,0,2.5,uc
423,1,6,46,0,2.5,uc
424,1,6,47,0,2.5,uc
425,1,6,50,0,2.5,uc
426,1,6,50.5,0,2.5,uc
427,1,6,51,3,3,uc
428,1,6,51.5,3,3,uc
429,1,6,52,3,3,uc
430,1,6,52.5,3,3,uc
431,1,6,53,3,3,uc
432,1,6,54,3,3,uc
433,1,6,57,3,3,uc
434,1,6,57.5,3,3,uc
435,1,6,58,0,0,uc
436,1,6,58.5,0,0,uc
437,1,6,59,0,0,uc
438,1,6,59.5,0,0,uc
439,1,6,60,0,0,uc
440,1,6,60.5,0,0,uc
441,1,6,61,0,0,uc
442,1,6,62,0,0,uc
443,1,6,63,0,0,uc
444,1,6,64,0,0,uc
445,1,6,64.5,0,0,uc
446,1,7,1,0,0,uc
447,1,7,1.5,0,0,uc
448,1,7,2,0,0,uc
449,1,7,2.5,0,0,uc
450,1,7,3,0,0,uc
451,1,7,3.5,0,0,uc
452,1,7,4,0,0,uc
453,1,7,4.5,0,0,uc
454,1,7,5,0,0,uc
455,1,7,6,0,0,uc
456,1,7,7,0,0,uc
457,1,7,8,0,0,uc
458,1,7,9,0,0,uc
459,1,7,10,0,0,uc
460,1,7,11,0,0,uc
461,1,7,14,0,0,uc
462,1,7,16,0,0,uc
463,1,7,18,0,0,uc
464,1,7,21,0,0,uc
465,1,7,21.5,0,0,uc
466,1,7,22,1,1,uc
467,1,7,22.5,1,1,uc
468,1,7,23,1,1,uc
469,1,7,23.5,1,1,uc
470,1,7,24,1,1,uc
471,1,7,25,1,1,uc
472,1,7,28,1,1,uc
473,1,7,28.5,1,1,uc
474,1,7,29,0,1.5,uc
475,1,7,29.5,0,1.5,uc
476,1,7,30,0,1.5,uc
477,1,7,30.5,0,1.5,uc
478,1,7,31,0,1.5,uc
479,1,7,31.5,0,1.5,uc
480,1,7,32,0,1.5,uc
481,1,7,33,0,1.5,uc
482,1,7,35,0,1.5,uc
483,1,7,35.5,0,1.5,uc
484,1,7,36,2,2,uc
485,1,7,36.5,2,2,uc
486,1,7,37,2,2,uc
487,1,7,37.5,2,2,uc
488,1,7,38,2,2,uc
489,1,7,39,2,2,uc
490,1,7,42,2,2,uc
491,1,7,42.5,2,2,uc
492,1,7,43,0,2.5,uc
493,1,7,43.5,0,2.5,uc
494,1,7,44,0,2.5,uc
495,1,7,44.5,0,2.5,uc
496,1,7,45,0,2.5,uc
497,1,7,45.5,0,2.5,uc
498,1,7,46,0,2.5,uc
499,1,7,47,0,2.5,uc
500,1,7,50,0,2.5,uc
501,1,7,50.5,0,2.5,uc
502,1,7,51,3,3,uc
503,1,7,51.5,3,3,uc
504,1,7,52,3,3,uc
505,1,7,52.5,3,3,uc
506,1,7,53,3,3,uc
507,1,7,54,3,3,uc
508,1,7,57,3,3,uc
509,1,7,58,0,0,uc
510,1,7,58.5,0,0,uc
511,1,7,59,0,0,uc
512,1,7,59.5,0,0,uc
513,1,7,60,0,0,uc
514,1,7,60.5,0,0,uc
515,1,7,61,0,0,uc
516,1,7,62,0,0,uc
517,1,7,63,0,0,uc
518,1,7,64,0,0,uc
519,1,7,64.5,0,0,uc
520,1,8,1,0,0,uc
521,1,8,1.5,0,0,uc
522,1,8,2,0,0,uc
523,1,8,2.5,0,0,uc
524,1,8,3,0,0,uc
525,1,8,3.5,0,0,uc
526,1,8,4,0,0,uc
527,1,8,4.5,0,0,uc
528,1,8,5,0,0,uc
529,1,8,6,0,0,uc
530,1,8,7,0,0,uc
531,1,8,8,0,0,uc
532,1,8,9,0,0,uc
533,1,8,10,0,0,uc
534,1,8,11,0,0,uc
535,1,8,14,0,0,uc
536,1,8,16,0,0,uc
537,1,8,18,0,0,uc
538,1,8,21,0,0,uc
539,1,8,21.5,0,0,uc
540,1,8,22,1,1,uc
541,1,8,22.5,1,1,uc
542,1,8,23,1,1,uc
543,1,8,23.5,1,1,uc
544,1,8,24,1,1,uc
545,1,8,25,1,1,uc
546,1,8,28,1,1,uc
547,1,8,28.5,1,1,uc
548,1,8,29,0,1.5,uc
549,1,8,29.5,0,1.5,uc
550,1,8,30,0,1.5,uc
551,1,8,30.5,0,1.5,uc
552,1,8,31,0,1.5,uc
553,1,8,31.5,0,1.5,uc
554,1,8,32,0,1.5,uc
555,1,8,33,0,1.5,uc
556,1,8,35,0,1.5,uc
557,1,8,35.5,0,1.5,uc
558,1,8,36,2,2,uc
559,1,8,36.5,2,2,uc
560,1,8,37,2,2,uc
561,1,8,37.5,2,2,uc
562,1,8,38,2,2,uc
563,1,8,39,2,2,uc
564,1,8,42,2,2,uc
565,1,8,42.5,2,2,uc
566,1,8,43,0,2.5,uc
567,1,8,43.5,0,2.5,uc
568,1,8,44,0,2.5,uc
569,1,8,44.5,0,2.5,uc
570,1,8,45,0,2.5,uc
571,1,8,45.5,0,2.5,uc
572,1,8,46,0,2.5,uc
573,1,8,47,0,2.5,uc
574,1,8,50,0,2.5,uc
575,1,8,50.5,0,2.5,uc
576,1,8,51,3,3,uc
577,1,8,51.5,3,3,uc
578,1,8,52,3,3,uc
579,1,8,52.5,3,3,uc
580,1,8,53,3,3,uc
581,1,8,54,3,3,uc
582,1,8,57,3,3,uc
583,1,8,57.5,3,3,uc
584,1,8,58,0,0,uc
585,1,8,58.5,0,0,uc
586,1,8,59,0,0,uc
587,1,8,59.5,0,0,uc
588,1,8,60,0,0,uc
589,1,8,60.5,0,0,uc
