,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Hungatella unknown OTU_96,21,20,0,6,2,18,25,11,2,24,0,90,31,33,53,2,1,227,12,18,2,5,1,61,9,17,0,4,0,4
Harryflintia unknown OTU_97,0,0,0,0,0,102,2,2,0,0,32,49,0,1,4,0,0,33,0,1,1,2,0,134,1,0,0,10,0,34
Enterocloster unknown OTU_98,1,0,0,3,0,0,0,3,0,28,0,0,0,0,0,7,0,0,0,0,0,26,0,0,1,1,0,5,0,0
unknown unknown OTU_99,192,93,42,4,110,76,179,57,38,11,140,24,201,107,68,3,24,109,75,49,22,0,92,64,115,102,17,1,159,130
Monoglobus unknown OTU_100,75,134,0,0,0,0,64,0,0,0,0,0,60,2,0,2,0,0,124,237,0,1,0,0,31,0,0,0,0,0
Ruminococcus bromii OTU_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto disporicum/cellulovorans OTU_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia unknown OTU_103,20,19,36,76,9,172,34,9,32,68,1,259,51,22,50,37,0,318,29,21,39,58,0,350,33,5,45,66,0,95
Blautia unknown OTU_104,1,4,0,172,0,0,0,1,0,73,0,0,0,0,12,100,0,0,1,30,9,294,0,0,0,1,1,153,0,0
Flintibacter unknown OTU_105,0,0,8,15,0,9,9,0,5,27,0,2,6,1,1,15,0,0,8,7,23,223,0,0,0,0,2,229,0,1
Dialister unknown OTU_106,2,0,0,0,0,0,1255,0,0,5,0,0,9,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
Anaerotignum unknown OTU_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phocea massiliensis OTU_108,4,0,0,48,0,0,10,1,0,80,0,91,6,5,0,46,0,0,1,4,0,71,0,0,0,0,0,95,0,0
unknown unknown OTU_109,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,4,229,0,14,0,0,0,321,0,0
unknown unknown OTU_110,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,112,0,0
