,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae,27097,12388,10865,1046,1451,15489,24302,16187,11417,968,2541,8616,20665,11801,5409,1086,8478,6967,13557,10454,1418,1581,3387,10314
Proteobacteria Betaproteobacteria Burkholderiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Bdellovibrionales Bdellovibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae,2434,1059,1823,11736,2504,3919,2354,2121,2668,18707,1397,2611,2671,945,2144,9909,2083,2068,1733,582,2428,7781,3075,4657
Proteobacteria Deltaproteobacteria unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Chromatiales Chromatiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae,4,1,5983,264,75575,3503,0,26,9506,11,21153,1536,0,0,8558,490,42971,1666,0,43,11258,98,60324,8817
Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Legionellales Legionellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae,0,0,0,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Hydrogenophilalia Hydrogenophilales Hydrogenophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Oligoflexia Bacteriovoracales Bacteriovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria unknown unknown unknown,1669,699,1433,2,69,10,119,679,0,40,1520,8,174,32,131,0,2989,918,1262,345,18,31,15,7
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae,38159,38827,11911,83156,4059,312,37749,25568,26728,73388,18562,2138,55642,29471,24055,60569,16048,10455,45014,13989,15604,68627,19301,941
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown unknown unknown,18,2,0,0,0,0,13,7,3,0,0,4,17,0,0,0,0,2,0,0,0,0,0,5
