sampleID	measurement1	measurement2	measurement3
6-D53	36774941506.25212	50782400625.38625	64507795870.31841
6-D54	6954557943.320569	8248168007.551917	16315421910.591516
6-D57AM	56322125935.006	115851976490.21255	131827763905.36937
6-D57PM	61474766317.683624	93890804505.90303	84715236950.52559
6-D58AM	20664572982.96163	40819905502.40989	55576436686.27172
6-D58PM	56073086025.38976	98459361739.5358	88782640258.09929
6-D59AM	15496830327.468452	29525037337.916374	36856263872.90151
6-D59PM	15705573203.328962	22520114923.49881	24789440418.33849
6-D6	27700214651.329723	61855275603.11278	30358145759.08902
6-D60AM	31121911262.759563	44384368361.96029	45557376465.46744
6-D60PM	32320165279.617386	44826803605.7326	44270489671.17111
6-D61	39407667716.68813	68633425814.99687	81002362757.59024
6-D62	119672054814.6198	161756804209.3595	94161559521.23364
6-D63	23835105474.66349	73943646248.55869	71845770797.36526
6-D64AM	33263030277.095444	68596276281.363434	81900160386.86708
6-D64PM	74998626063.08281	19140287010.776627	64566416496.56591
6-D7	74566910037.30484	120366794784.21347	110955973381.13797
6-D8	43481725815.18685	105112850463.2471	103570976636.7579
6-D9	122774266497.32712	230273188508.1467	160132809765.88388
7-D10	164848974661.6797	189196259744.0749	204406082511.92245
7-D11	40002906868.143394	62040483303.111275	97420270739.6218
7-D14	59225864311.662575	101071120519.54886	108485852373.04393
7-D16	59084388484.55477	125641144702.59206	85201095119.24454
7-D18	65079245823.337074	113535454543.69693	134382046212.66862
7-D1AM	48199686569.80169	52602905288.93632	60759581869.10532
7-D1PM	197296004849.2924	273620617683.3656	184872533308.85168
7-D21AM	164917770233.4731	168763056859.36414	221016777409.75568
7-D21PM	66276337571.7653	83005266560.64853	165661271729.57352
7-D22AM	65418585561.24992	139471508699.2275	123566854646.33455
7-D22PM	58575398354.23414	77546483007.13406	81741737042.27959
7-D23AM	141898279328.00967	188043153796.9129	258180300890.59644
7-D23PM	68284663287.540886	139726948382.67154	133306989118.40813
7-D24	98615455170.88074	131151872695.01567	141754766268.03494
7-D25	155712734175.09338	219057341233.1214	191444686734.6186
7-D28AM	52887478224.51515	129634355465.2359	38321319707.120735
7-D28PM	422821101714.0348	599327337592.4354	536734358566.5784
