	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8	Cluster 9	Cluster 10	Cluster 11	Cluster 12	Cluster 13	Cluster 14	Cluster 15	Cluster 16	Cluster 17	Cluster 18	Cluster 19	Cluster 20	Cluster 21	Cluster 22	Cluster 23
Cluster 11	0.0	3.3748810908345376e-14	-1.706593385869468e-11	-2.9403997237303697e-15	-7.327755443389561e-10	1.0743091629935573e-13	-1.0705045014607991e-10	9.200596315991093e-14	-2.87373205558651e-10	-1.2566572164193609e-12	0.0	-1.3389842686903546e-12	2.1237846767576335e-12	-2.9919359241304408e-15	-4.0243374248385074e-10	6.433100409267603e-11	-1.8115535630545294e-09	1.7452971320498406e-12	3.83998480273113e-11	5.231064995871828e-10	-1.3798012710792465e-09	7.351427937508038e-10	7.263664080750026e-10
Cluster 12	0.0	6.356702987390376e-15	-1.5806854296809038e-12	-3.832286813427617e-16	-4.589716170671231e-10	-1.3348169515874538e-15	-1.6903138557179175e-10	9.410231685064205e-14	-1.4226397440305589e-11	-2.4905097907045437e-12	-5.402616916051119e-12	0.0	1.7169796108745344e-12	-1.125117286074477e-12	-1.7644299070909276e-11	2.8289995048213493e-13	-1.4022858976211507e-10	-5.7732986066506146e-12	-1.707811690305387e-11	-2.9205999634217444e-11	1.1151558837038338e-11	-8.12632099695696e-11	-5.7048922549104887e-11
Cluster 13	1.5216328666332435e-16	-2.5189559192597403e-14	4.5044925272867006e-14	-3.937410524013633e-14	2.599770713084832e-11	-1.1159667821309648e-12	4.0074918518994634e-13	2.818684463325442e-14	5.720219479478719e-13	2.7266267155721783e-15	2.831323749516832e-14	3.284713248742073e-14	0.0	-3.306848178713532e-13	1.8302319719818036e-12	-3.4575331994910557e-10	-2.5284813665383023e-11	1.0423297497426726e-12	-1.844930479248632e-11	2.1334515967259792e-11	5.148026962829736e-12	1.494821301268392e-10	5.128705911110265e-11
Cluster 14	-5.823382289177902e-15	-5.751174454998159e-14	7.862398925555774e-11	-6.172263182638824e-13	-5.506585654638576e-11	-8.11881840517864e-12	-1.782813487256935e-11	4.389654552585649e-14	1.2480599827351317e-10	-4.981383608686978e-11	-3.2405192770626404e-10	7.061928854918121e-13	6.615127168708129e-12	0.0	-5.752418304822507e-11	-2.899744836021426e-11	-2.576890521716612e-09	-1.2019785977708358e-11	-7.736760952245467e-12	2.887714430873671e-10	-1.0710270796561656e-09	2.5511247340199214e-11	6.213437393983739e-10
Cluster 15	0.0	-5.3984129455771704e-14	-5.261186635583785e-12	-1.1217395775201148e-15	-3.1449288132056973e-10	-5.241416645904513e-14	4.1738424810995775e-13	1.9516367927788735e-15	-2.4630299875637427e-09	1.3288372752734245e-12	-4.4397907985952743e-13	-7.500983631307236e-12	2.1895395583934684e-12	-3.465622183220696e-14	0.0	1.0766375507976367e-12	-2.0384432097747646e-11	6.524900127042103e-11	-3.813724274782984e-12	-4.730660907679234e-11	8.373129876208956e-12	2.3995456598731694e-10	1.4839526463538535e-09
Cluster 16	-7.670414878054025e-15	-7.599441124265964e-15	1.5952582705265167e-10	-4.759979345206588e-14	2.441419258318517e-10	-3.125248547721778e-13	2.0948218785770836e-12	4.9980893202039043e-14	-2.5489692901401483e-12	-8.284944896204465e-13	-2.55284441278362e-10	1.565338799953496e-12	8.517929914926746e-13	-1.760296233540886e-13	-2.4701824872823623e-10	0.0	-1.8297497386783402e-09	-9.654572363204374e-13	7.658290554627002e-12	5.5375934241486034e-11	-1.1240698129039298e-09	2.3009103482438043e-09	4.965464158137375e-10
Cluster 17	-3.5441219355066958e-15	-6.443322340662093e-14	-3.977688862911784e-14	9.08202561977674e-14	-8.214412519317972e-10	2.346911287889631e-13	8.493555222976366e-14	-6.52337759497609e-14	-3.933665717977345e-12	-6.2512865599589554e-12	-5.283343540762972e-13	-5.685280917270668e-15	2.2063970245186124e-13	2.728540084220123e-12	-3.0892083977207675e-11	-2.870249942256346e-10	0.0	-7.834263734250526e-11	6.273619397740092e-10	2.28126037177446e-10	-4.726468969594967e-11	7.136643315709532e-11	3.5482003366840406e-09
Cluster 18	-5.898869036688863e-15	-1.5632649129713782e-14	-1.5216794651295948e-10	-7.349735223885263e-16	6.69175834916038e-12	-4.3885559917882124e-14	1.292425788739686e-13	1.4927751210146134e-15	-8.767343810782509e-10	-9.468034249661633e-12	-4.72059537486451e-13	2.2556204120041528e-12	1.3468887607157458e-12	-1.2199216269727892e-13	-5.206797628606045e-12	-3.751887970932438e-11	-1.3643727622155572e-09	0.0	-5.422342064991344e-12	-2.9688202753508236e-11	-1.1186998370517564e-11	-5.128993998369956e-11	1.6213076759131944e-10
Cluster 19	-8.183874481556455e-15	-4.8973493122015105e-14	2.114656060341883e-11	9.201163220159621e-15	-5.175642351952468e-11	-1.4131475498918576e-14	-1.686215394494882e-12	9.36943283473581e-15	3.208294367465872e-12	-9.58447146341088e-12	-1.8019327570440118e-13	3.2536235828150847e-13	6.958482280271969e-13	6.336664298823295e-14	1.1015798852320209e-11	-1.8442715451637156e-10	-1.9519150546349305e-09	-6.937133529328259e-12	0.0	-1.3689940023312178e-10	7.38689549661455e-11	-1.3689540284105291e-11	2.610230858189603e-09
Cluster 20	-2.0773553227934458e-16	-4.8217832035140914e-14	-5.903007521803081e-12	9.180157119241522e-17	-2.2396528880268323e-09	9.918203471465683e-15	-7.377484127329056e-13	5.6826094734482526e-15	-5.050551043852879e-10	-7.730254483876583e-12	-1.8917650087848306e-12	-2.2439474767366742e-13	-4.51687633136738e-14	-4.460500236917647e-13	8.380790091564868e-13	-6.062834440126326e-13	-3.509245550804021e-11	-5.3870469173402865e-12	-2.7343033101641836e-11	0.0	-6.8379340557703155e-12	-5.2219741180234895e-11	7.070006007805016e-11
Cluster 21	0.0	2.751951175830253e-14	9.220773256553705e-15	-8.89313867516612e-16	8.430164002102127e-12	-3.590605590265424e-14	-8.322424728845495e-13	-2.9460311613448347e-15	-2.154690155425144e-13	-7.733328586935204e-14	-4.303779548733909e-12	-3.8589399791666966e-10	-1.295932432040326e-13	-3.7279919313559136e-15	-2.4463228978457223e-11	-3.2203478364769047e-13	-4.736559311654634e-10	-2.855516868312664e-12	-5.076801636055015e-12	-2.168126641724672e-11	0.0	-6.292352443459403e-12	-2.3650150511592977e-10
Cluster 22	0.0	-3.079044759468363e-14	5.3623482154258075e-12	1.7740380892547556e-16	3.584087984146859e-11	-1.2174548793115507e-14	-9.32478554984834e-14	-2.579562627724879e-15	2.0011812476389942e-11	4.7505706864162476e-14	-5.245048955367465e-13	-3.267393778928222e-13	-4.470950954906729e-13	2.268033483314523e-14	-1.826188410071489e-11	7.736671736530332e-13	-1.0889332941300407e-09	2.5468813978073747e-13	1.2765332003367527e-11	-3.17592742307169e-11	1.4343984563672492e-10	0.0	-9.97892249845158e-11
Cluster 23	0.0	-1.4024533787821464e-14	-1.0520725660520315e-12	0.0	-8.87403340114297e-12	-2.993729785013868e-14	5.501873164261116e-13	-5.224250361279462e-15	-2.662523669947719e-12	-1.0897771251225218e-13	7.836889602498123e-14	4.931675974222102e-13	2.94236730691489e-14	-1.1781487113997867e-14	-9.295871475445219e-12	-5.0781107047169536e-14	-3.0324831577514874e-11	-7.076907184074777e-13	-1.7026103755910294e-13	-8.070723005036151e-11	2.0776796630095783e-12	9.19495400018966e-11	0.0
