	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8	Cluster 9	Cluster 10	Cluster 11	Cluster 12	Cluster 13	Cluster 14	Cluster 15	Cluster 16	Cluster 17	Cluster 18	Cluster 19	Cluster 20	Cluster 21	Cluster 22	Cluster 23	Cluster 24	Cluster 25	Cluster 26	Cluster 27	Cluster 28	Cluster 29	Cluster 30
Cluster 11	0.21674613461462575	0.028998901245524594	0.126167180449132	0.07991500155621792	0.4399224755592916	0.03868069252674942	8.062757117165937	0.140809859578366	0.9169660869866243	0.261056552979481	0.0	0.2216615646825047	0.8159534734516867	1.5597794684309405	120659.62393132148	0.7285534538014474	0.9978434445763386	38.85059686302558	0.09936809294149584	0.4951002326232288	120659.62393132148	1.1399806486174395	19.908415995957338	46.47984276293281	3.4260572006289487	0.6799784171759725	5.198143508290907	0.2832722832715732	2.524854111725061	1.557044048843425
Cluster 12	0.004828316090556439	0.28821460758243406	0.004828316090556439	0.6087390840297461	0.447432154092267	0.031418621986281293	0.012074413274983311	0.00965856428038881	0.014490745729452654	0.126167180449132	0.0072431986005876674	0.0	0.06049311312454044	0.42991670472478744	0.29068652001480666	0.16770072474390527	5.515277515263691	0.07505660710577197	0.16770072474390527	0.7696064812958123	3.0810558658925276	0.6443075519034729	0.702963965697616	0.9664742145217141	1.2676812247351992	0.8780184475053129	2.1760704259287023	0.20937670806490627	1.1505733077207643	1.1029761250375663
Cluster 13	1.6146104331276705	0.30800392639489027	0.014490745729452654	0.9273726158438116	0.9482116303959092	0.08234493002684283	2.744584467263856	0.04837024476290909	0.00965856428038881	inf	0.07991500155621792	29.322278066390613	0.0	4.573551344564027	0.18974669085486268	2.2797435803835926	1.0424176282693864	0.3874829137977321	5.34505088845999	0.8987754400033502	0.6468520697891484	5.063286741473904	33.37278357141329	3.1025573506028414	2.6967688601862254	0.9978434445763386	1.1426279813347946	0.3104798461825016	1.513356403894587	1.7749517137556385
Cluster 14	0.0	0.00965856428038881	0.0	0.06291914533326474	0.1188524625362165	0.024160913049741377	0.004828316090556439	0.0024139166053296964	0.0024139166053296964	0.03383882734965781	0.0072431986005876674	0.3055285080593878	0.019324861598632215	0.0	0.04837024476290909	1.4643850469015292	0.9247701732363426	0.0169075617889364	0.3476789210194981	0.48504949208693793	0.22412002387723362	0.09206952230418412	141.63764440652017	0.6290514100882081	1.227636405439129	0.9299755989939347	0.764467441036246	0.5833954838446566	0.9013724864324677	1.3858788632995198
Cluster 15	0.0169075617889364	0.4074334812579634	0.0024139166053296964	inf	1.2489779187265762	0.019324861598632215	0.5177444278554897	0.0169075617889364	0.0024139166053296964	0.028998901245524594	0.0024139166053296964	0.140809859578366	0.0507938465648386	19.53386870045625	0.0	0.5026436745493155	1.7166670328581028	7.769066946839939	0.031418621986281293	0.3675647533506341	6680.516619166541	0.04837024476290909	36.52359502765025	51.125961105252976	1.037165402619624	0.23149837990769365	0.8314408256458379	0.07505660710577197	1.4481027887817965	0.8133741158322798
Cluster 16	0.0024139166053296964	0.0169075617889364	0.04110235263184992	0.11154215373596696	0.11641520323163168	0.00965856428038881	0.05806756728955486	0.04837024476290909	0.8211137889537328	0.08477534619008603	0.0169075617889364	0.35264735264646874	0.028998901245524594	0.5328637021182946	6.591130914475309	0.0	1.9316700867575876	0.05321793415586451	0.07991500155621792	0.7259921326652202	0.6366771322107925	23.925279198815403	0.7798909279224201	0.40992958474804264	1.3562264614195132	0.6062023858010713	1.7055949047340986	0.13348631146486073	1.340081446474541	0.9169660869866243
Cluster 17	0.0024139166053296964	0.13836818583842134	0.0024139166053296964	9.763180639560662	1.0581874631952493	0.22412002387723362	0.004828316090556439	0.0	0.0	0.0677726694572168	0.0	0.2931589328343114	0.04352449794234116	0.3675647533506341	0.07748556063143383	0.12860640024576822	0.0	0.0507938465648386	1.2356352665372465	0.2931589328343114	0.126167180449132	0.08720625019278391	1.0897864677101574	0.6570353688981287	1.628354755592348	0.3999482157447125	0.685082639832054	0.09693474753691421	1.0792446630280006	1.2810576112987138
Cluster 18	0.0	0.06049311312454044	0.07020016166523493	23.097596467401587	0.6595825013725062	0.00965856428038881	0.004828316090556439	0.0	0.22657897937946123	0.08234493002684283	0.0024139166053296964	0.46998875095403236	0.05321793415586451	0.22412002387723362	0.5303425354510681	0.07262814083257262	1.0187998556915179	0.0	0.1188524625362165	0.2808018710894829	inf	0.09206952230418412	0.5101917382104737	inf	0.896178932268783	0.3924675144177502	2.6461508112573613	0.33030527505862856	1.6201064020893223	0.9612536205004572
Cluster 19	0.0024139166053296964	0.02174264530379589	0.0024139166053296964	0.09693474753691421	0.13592700318329964	1.108255850644036	0.03868069252674942	0.00965856428038881	0.0	0.0677726694572168	0.028998901245524594	0.4274165348854412	0.0507938465648386	0.5253017477383589	0.07262814083257262	0.15791533858932627	0.9847634094070694	0.39745414171010823	0.0	0.5253017477383589	0.14813782878943454	0.126167180449132	0.6544887596637831	0.48253808841203194	2.0305853922455235	3.7573333096178936	0.5227821263770562	0.29810526024259765	1.3293294593113563	1.246308265760395
Cluster 20	0.0	0.014490745729452654	0.0	0.06291914533326474	0.13592700318329964	0.0169075617889364	0.0072431986005876674	0.0024139166053296964	0.0024139166053296964	0.04110235263184992	0.012074413274983311	0.37254125962399764	0.03383882734965781	0.4049378853639166	0.08720625019278391	0.3104798461825016	0.8391917133617954	0.03625951748125934	0.33278571478001445	0.0	0.12860640024576822	0.19465122690880352	2.6967688601862254	0.4249168738829402	1.3966786648439995	1.861472913600949	0.5656858294240492	0.664678336686535	0.9456048587272936	1.6448673214280352
Cluster 21	0.0	0.9899937894916203	0.0	19.033972486258886	0.6544887596637831	0.0	0.27586254591343734	0.00965856428038881	0.0024139166053296964	0.012074413274983311	0.004828316090556439	0.5051591820338729	0.024160913049741377	1.592649991750573	0.03625951748125934	1.0030792732569485	26.85997749925097	0.07262814083257262	0.09936809294149584	1.0924232962462086	0.0	0.06049311312454044	15.732346206043145	0.8262762392434514	0.9456048587272936	0.6417635564524314	0.6901889625591725	0.13104611053502396	0.976921920837899	0.9013724864324677
Cluster 22	0.0169075617889364	0.014490745729452654	0.0072431986005876674	0.07505660710577197	0.11397843368075022	0.0024139166053296964	0.024160913049741377	48.60813073459118	0.0024139166053296964	0.04110235263184992	0.5985954106455602	0.6392200832751429	0.019324861598632215	0.5303425354510681	0.0677726694572168	0.3924675144177502	6.462578665402224	0.7336776795800136	0.3228669722378695	1.1056157117622818	0.20201174017801815	0.0	0.6544887596637831	1.8754820875692069	1.3589192868761637	167.72932208184284	0.6876355386057372	1.8670747720474679	3.056524267873073	1.1611748486260833
Cluster 23	0.014490745729452654	0.026579664981840827	0.0024139166053296964	0.10180192706778961	0.17994354806721552	0.0	0.00965856428038881	0.028998901245524594	0.0072431986005876674	0.04352449794234116	0.004828316090556439	1.595392998374074	0.05321793415586451	0.4124261959890353	0.22903843133949262	0.19710423662385548	1.171785282508989	0.04352449794234116	0.03868069252674942	0.21674613461462575	1.021421864446196	0.37005275384713543	0.0	1.3966786648439995	0.8262762392434514	0.6011305492688396	1.1188219312079517	0.30800392639489027	1.0634484654086314	0.5859275075689765
Cluster 24	0.00965856428038881	0.11397843368075022	0.004828316090556439	0.20937670806490627	0.6901889625591725	0.0	0.004828316090556439	0.004828316090556439	0.0072431986005876674	0.07748556063143383	0.019324861598632215	0.3030535910236698	0.0507938465648386	0.5859275075689765	0.8780184475053129	0.16280704652756867	1.016178393416363	0.03868069252674942	0.11397843368075022	0.37005275384713543	11.442186744044857	0.20201174017801815	0.39745414171010823	0.0	0.9743091790508068	0.3030535910236698	3.8122429266381883	0.126167180449132	1.2036700540607377	1.016178393416363
Cluster 25	0.0024139166053296964	0.0169075617889364	0.0	0.07505660710577197	0.12860640024576822	0.0169075617889364	0.004828316090556439	0.004828316090556439	0.0	0.06291914533326474	0.004828316090556439	0.38997496085092676	0.014490745729452654	0.33774810331205096	0.08477534619008603	0.8082170000297737	0.8495337190968071	0.07020016166523493	0.1188524625362165	0.24626850851660323	0.11154215373596696	0.09693474753691421	1.881089985429347	0.30800392639489027	0.0	0.33774810331205096	0.6290514100882081	0.12372845099721315	1.0897864677101574	1.4074876100451996
Cluster 26	0.0	0.13348631146486073	0.024160913049741377	0.08963764218183184	2.302893100126894	0.0	0.0169075617889364	0.10180192706778961	0.004828316090556439	0.031418621986281293	0.0072431986005876674	3.001489528129183	0.026579664981840827	0.2832722832715732	0.05806756728955486	0.1823935929724809	0.9508189439565669	0.16770072474390527	0.38499137310378817	1.1399806486174395	0.3650772579806166	2543.602836873057	0.969085326062302	0.2339588252344908	3.071851331566324	0.0	1.3562264614195132	0.7516291137637527	3.922713262856883	1.1691318397097437
Cluster 27	0.0024139166053296964	0.03383882734965781	0.0024139166053296964	0.06291914533326474	0.13104611053502396	0.026579664981840827	0.014490745729452654	0.0072431986005876674	0.012074413274983311	0.10667106207457132	0.0024139166053296964	0.4499364002255852	0.07748556063143383	3.5652473315645743	0.2511958644113609	0.512708787217306	0.8857982849252373	0.04352449794234116	0.969085326062302	6.358196867340753	0.2511958644113609	0.23149837990769365	7.295403269860826	1.1346876462542712	2.4602199147592025	0.7464974887636588	0.0	0.126167180449132	1.0476720459999709	1.5899075698652134
Cluster 28	0.04837024476290909	0.03383882734965781	0.06049311312454044	0.12860640024576822	0.1823935929724809	0.019324861598632215	0.09450189070685411	0.012074413274983311	0.30800392639489027	0.03625951748125934	0.0024139166053296964	0.5631579499760226	0.04594712860406183	2.5425361762205294	2.3784100479635724	4.226058834743894	1.4426799708662654	0.30057917513547344	0.09450189070685411	0.9560351974300357	15.54879889371224	0.11154215373596696	4.807668221494761	1.1029761250375663	1.2864121109296365	0.5631579499760226	5.757664678631174	0.0	1.3185865436412432	1.1452758686415954
Cluster 29	0.0024139166053296964	0.0507938465648386	0.0	0.14569468090558332	0.2118326879745962	0.07505660710577197	0.09450189070685411	0.031418621986281293	0.06534566406203492	0.05806756728955486	0.019324861598632215	0.447432154092267	0.03868069252674942	1.584424479561173	1.7028283543603244	0.2216615646825047	2.1846787648259607	0.2044662343164681	0.2339588252344908	1.581683810768818	0.38997496085092676	0.2339588252344908	1.3535342047294603	6.867425302860885	1.5433756818971884	1.5871657325310389	1.6091168091127759	1.3804823877735675	0.0	1.3481513969285055
Cluster 30	0.0	0.0169075617889364	0.004828316090556439	0.14569468090558332	0.2561252121629734	0.03625951748125934	0.019324861598632215	0.00965856428038881	0.0024139166053296964	0.05564250768205949	0.0024139166053296964	0.6341347030986308	0.024160913049741377	0.33278571478001445	0.13104611053502396	0.14569468090558332	0.9560351974300357	0.03383882734965781	0.1188524625362165	0.3055285080593878	0.2339588252344908	0.08477534619008603	0.5379075818645243	0.26845730384591304	2.0959966261511376	0.38997496085092676	0.6214303811990564	0.1823935929724809	1.0792446630280006	0.0
