mass1	mass2	mass3
5.51E+10	5.69E+10	6.73E+10
5.78E+10	8.97E+10	9.17E+10
1.48E+11	4.93E+10	1.43E+11
4.80E+10	6.56E+10	7.81E+10
1.00E+11	6.80E+10	1.02E+11
8.85E+10	4.50E+10	8.60E+10
1.94E+10	4.14E+10	3.67E+10
2.97E+10	3.11E+10	5.85E+10
2.33E+10	3.06E+10	2.08E+10
1.41E+10	2.52E+10	4.26E+10
3.75E+10	6.50E+10	4.03E+10
1.03E+10	1.33E+10	1.82E+10
2.04E+10	3.36E+10	3.90E+10
1.51E+10	4.50E+10	1.18E+10
2.95E+10	4.16E+10	4.65E+10
1.16E+10	2.47E+10	3.74E+10
1.10E+11	5.52E+10	1.10E+11
2.69E+10	2.76E+10	3.79E+10
3.08E+10	1.75E+10	3.21E+10
2.75E+10	6.64E+10	9.26E+10
2.58E+10	4.88E+10	4.53E+10
4.35E+10	2.95E+10	6.58E+10
1.83E+10	4.12E+10	1.90E+10
5.43E+10	6.12E+10	1.00E+11
4.36E+10	5.94E+10	6.55E+10
7.93E+10	1.24E+11	1.10E+11
9.02E+10	1.88E+11	1.75E+11
2.33E+11	4.19E+11	5.17E+11
3.77E+10	4.91E+10	5.47E+10
2.51E+10	4.02E+10	2.86E+10
5.11E+10	7.03E+10	7.28E+10
1.96E+10	3.66E+10	1.41E+10
6.13E+10	7.23E+10	8.16E+10
7.87E+10	1.30E+11	1.33E+11
1.17E+11	1.06E+11	1.24E+11
7.42E+10	1.41E+11	7.20E+10
